Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Porto de Vigo";"";""
"28/09/2023";"Lluvia";"0.0";"1";"L/m2"
"28/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"28/09/2023";"Temperatura media  atura a 1.5m";"21.68";"1";"ºC"
"29/09/2023";"Lluvia";"0.0";"1";"L/m2"
"29/09/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"29/09/2023";"Temperatura media  atura a 1.5m";"21.38";"1";"ºC"
"30/09/2023";"Lluvia";"0.0";"1";"L/m2"
"30/09/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"30/09/2023";"Temperatura media  atura a 1.5m";"23.09";"1";"ºC"
"01/10/2023";"Lluvia";"0.0";"1";"L/m2"
"01/10/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"01/10/2023";"Temperatura media  atura a 1.5m";"20.81";"1";"ºC"
"02/10/2023";"Lluvia";"0.0";"1";"L/m2"
"02/10/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"02/10/2023";"Temperatura media  atura a 1.5m";"21.10";"1";"ºC"
"03/10/2023";"Lluvia";"0.0";"1";"L/m2"
"03/10/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"03/10/2023";"Temperatura media  atura a 1.5m";"21.42";"1";"ºC"
"04/10/2023";"Lluvia";"0.0";"1";"L/m2"
"04/10/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"04/10/2023";"Temperatura media  atura a 1.5m";"20.01";"1";"ºC"
"05/10/2023";"Lluvia";"0.0";"1";"L/m2"
"05/10/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"05/10/2023";"Temperatura media  atura a 1.5m";"18.90";"1";"ºC"
"06/10/2023";"Lluvia";"0.0";"1";"L/m2"
"06/10/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"06/10/2023";"Temperatura media  atura a 1.5m";"20.74";"1";"ºC"
"07/10/2023";"Lluvia";"0.0";"1";"L/m2"
"07/10/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"07/10/2023";"Temperatura media  atura a 1.5m";"23.30";"1";"ºC"
"08/10/2023";"Lluvia";"0.0";"5";"L/m2"
"08/10/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"08/10/2023";"Temperatura media  atura a 1.5m";"22.07";"1";"ºC"
"09/10/2023";"Lluvia";"0.0";"5";"L/m2"
"09/10/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"09/10/2023";"Temperatura media  atura a 1.5m";"23.96";"1";"ºC"
"10/10/2023";"Lluvia";"0.0";"5";"L/m2"
"10/10/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"10/10/2023";"Temperatura media  atura a 1.5m";"22.90";"1";"ºC"
"11/10/2023";"Lluvia";"0.0";"5";"L/m2"
"11/10/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"11/10/2023";"Temperatura media  atura a 1.5m";"22.22";"1";"ºC"
"12/10/2023";"Lluvia";"0.0";"5";"L/m2"
"12/10/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"12/10/2023";"Temperatura media  atura a 1.5m";"23.37";"1";"ºC"
"13/10/2023";"Lluvia";"17.1";"5";"L/m2"
"13/10/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"13/10/2023";"Temperatura media  atura a 1.5m";"19.21";"1";"ºC"
"14/10/2023";"Lluvia";"0.0";"5";"L/m2"
"14/10/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"14/10/2023";"Temperatura media  atura a 1.5m";"18.71";"1";"ºC"
"15/10/2023";"Lluvia";"10.7";"5";"L/m2"
"15/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"15/10/2023";"Temperatura media  atura a 1.5m";"17.50";"1";"ºC"
"16/10/2023";"Lluvia";"13.1";"5";"L/m2"
"16/10/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"16/10/2023";"Temperatura media  atura a 1.5m";"19.39";"1";"ºC"
"17/10/2023";"Lluvia";"35.4";"5";"L/m2"
"17/10/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"17/10/2023";"Temperatura media  atura a 1.5m";"19.90";"1";"ºC"
"18/10/2023";"Lluvia";"35.9";"5";"L/m2"
"18/10/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"18/10/2023";"Temperatura media  atura a 1.5m";"19.10";"1";"ºC"
"19/10/2023";"Lluvia";"68.0";"1";"L/m2"
"19/10/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"19/10/2023";"Temperatura media  atura a 1.5m";"17.60";"1";"ºC"
"20/10/2023";"Lluvia";"18.8";"1";"L/m2"
"20/10/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"20/10/2023";"Temperatura media  atura a 1.5m";"16.58";"1";"ºC"
"21/10/2023";"Lluvia";"5.5";"1";"L/m2"
"21/10/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"21/10/2023";"Temperatura media  atura a 1.5m";"14.68";"1";"ºC"
"22/10/2023";"Lluvia";"3.6";"1";"L/m2"
"22/10/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"22/10/2023";"Temperatura media  atura a 1.5m";"15.35";"1";"ºC"
"23/10/2023";"Lluvia";"8.9";"1";"L/m2"
"23/10/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"23/10/2023";"Temperatura media  atura a 1.5m";"15.05";"1";"ºC"
"24/10/2023";"Lluvia";"22.8";"1";"L/m2"
"24/10/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"24/10/2023";"Temperatura media  atura a 1.5m";"17.16";"1";"ºC"
"25/10/2023";"Lluvia";"35.8";"1";"L/m2"
"25/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"25/10/2023";"Temperatura media  atura a 1.5m";"19.06";"1";"ºC"
"26/10/2023";"Lluvia";"53.9";"1";"L/m2"
"26/10/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"26/10/2023";"Temperatura media  atura a 1.5m";"17.60";"1";"ºC"
"27/10/2023";"Lluvia";"25.6";"1";"L/m2"
"27/10/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"27/10/2023";"Temperatura media  atura a 1.5m";"17.25";"1";"ºC"
"28/10/2023";"Lluvia";"30.3";"1";"L/m2"
"28/10/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"28/10/2023";"Temperatura media  atura a 1.5m";"17.56";"1";"ºC"
"29/10/2023";"Lluvia";"18.9";"1";"L/m2"
"29/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"29/10/2023";"Temperatura media  atura a 1.5m";"15.34";"1";"ºC"
"30/10/2023";"Lluvia";"10.8";"1";"L/m2"
"30/10/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"30/10/2023";"Temperatura media  atura a 1.5m";"16.08";"1";"ºC"
"31/10/2023";"Lluvia";"18.4";"1";"L/m2"
"31/10/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"31/10/2023";"Temperatura media  atura a 1.5m";"15.99";"1";"ºC"
"01/11/2023";"Lluvia";"15.2";"1";"L/m2"
"01/11/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"01/11/2023";"Temperatura media  atura a 1.5m";"17.36";"1";"ºC"
"02/11/2023";"Lluvia";"11.5";"1";"L/m2"
"02/11/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"02/11/2023";"Temperatura media  atura a 1.5m";"14.83";"1";"ºC"
"03/11/2023";"Lluvia";"27.0";"1";"L/m2"
"03/11/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"03/11/2023";"Temperatura media  atura a 1.5m";"15.06";"1";"ºC"
"04/11/2023";"Lluvia";"25.9";"1";"L/m2"
"04/11/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/11/2023";"Temperatura media  atura a 1.5m";"16.60";"1";"ºC"
"05/11/2023";"Lluvia";"18.5";"1";"L/m2"
"05/11/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"05/11/2023";"Temperatura media  atura a 1.5m";"14.59";"1";"ºC"
"06/11/2023";"Lluvia";"8.8";"1";"L/m2"
"06/11/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"06/11/2023";"Temperatura media  atura a 1.5m";"12.40";"1";"ºC"
"07/11/2023";"Lluvia";"13.4";"1";"L/m2"
"07/11/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"07/11/2023";"Temperatura media  atura a 1.5m";"13.59";"1";"ºC"
"08/11/2023";"Lluvia";"22.3";"1";"L/m2"
"08/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"08/11/2023";"Temperatura media  atura a 1.5m";"14.61";"1";"ºC"
"09/11/2023";"Lluvia";"3.1";"1";"L/m2"
"09/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"09/11/2023";"Temperatura media  atura a 1.5m";"14.28";"1";"ºC"
"10/11/2023";"Lluvia";"19.8";"1";"L/m2"
"10/11/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"10/11/2023";"Temperatura media  atura a 1.5m";"15.06";"1";"ºC"
"11/11/2023";"Lluvia";"9.0";"1";"L/m2"
"11/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"11/11/2023";"Temperatura media  atura a 1.5m";"18.00";"1";"ºC"
"12/11/2023";"Lluvia";"0.7";"1";"L/m2"
"12/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"12/11/2023";"Temperatura media  atura a 1.5m";"19.33";"1";"ºC"
"13/11/2023";"Lluvia";"1.4";"1";"L/m2"
"13/11/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"13/11/2023";"Temperatura media  atura a 1.5m";"19.28";"1";"ºC"
"14/11/2023";"Lluvia";"7.4";"1";"L/m2"
"14/11/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"14/11/2023";"Temperatura media  atura a 1.5m";"18.06";"1";"ºC"
"15/11/2023";"Lluvia";"2.1";"1";"L/m2"
"15/11/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"15/11/2023";"Temperatura media  atura a 1.5m";"17.64";"1";"ºC"
"16/11/2023";"Lluvia";"4.6";"1";"L/m2"
"16/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"16/11/2023";"Temperatura media  atura a 1.5m";"17.09";"1";"ºC"
"17/11/2023";"Lluvia";"0.0";"1";"L/m2"
"17/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"17/11/2023";"Temperatura media  atura a 1.5m";"15.28";"1";"ºC"
"18/11/2023";"Lluvia";"0.0";"1";"L/m2"
"18/11/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/11/2023";"Temperatura media  atura a 1.5m";"16.97";"1";"ºC"
"19/11/2023";"Lluvia";"0.0";"1";"L/m2"
"19/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"19/11/2023";"Temperatura media  atura a 1.5m";"16.22";"1";"ºC"
"20/11/2023";"Lluvia";"0.0";"1";"L/m2"
"20/11/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"20/11/2023";"Temperatura media  atura a 1.5m";"14.80";"1";"ºC"
"21/11/2023";"Lluvia";"0.0";"1";"L/m2"
"21/11/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"21/11/2023";"Temperatura media  atura a 1.5m";"13.04";"1";"ºC"
"22/11/2023";"Lluvia";"0.0";"1";"L/m2"
"22/11/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"22/11/2023";"Temperatura media  atura a 1.5m";"13.39";"1";"ºC"
"23/11/2023";"Lluvia";"0.0";"1";"L/m2"
"23/11/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"23/11/2023";"Temperatura media  atura a 1.5m";"13.96";"1";"ºC"
"24/11/2023";"Lluvia";"0.0";"1";"L/m2"
"24/11/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"24/11/2023";"Temperatura media  atura a 1.5m";"12.98";"1";"ºC"
"25/11/2023";"Lluvia";"0.0";"1";"L/m2"
"25/11/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"25/11/2023";"Temperatura media  atura a 1.5m";"11.99";"1";"ºC"
"26/11/2023";"Lluvia";"0.0";"1";"L/m2"
"26/11/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"26/11/2023";"Temperatura media  atura a 1.5m";"12.37";"1";"ºC"
"27/11/2023";"Lluvia";"0.3";"1";"L/m2"
"27/11/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"27/11/2023";"Temperatura media  atura a 1.5m";"14.34";"1";"ºC"
"28/11/2023";"Lluvia";"8.0";"1";"L/m2"
"28/11/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"28/11/2023";"Temperatura media  atura a 1.5m";"15.32";"1";"ºC"
"29/11/2023";"Lluvia";"7.5";"1";"L/m2"
"29/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"29/11/2023";"Temperatura media  atura a 1.5m";"16.35";"1";"ºC"
"30/11/2023";"Lluvia";"16.9";"1";"L/m2"
"30/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"30/11/2023";"Temperatura media  atura a 1.5m";"11.42";"1";"ºC"
"01/12/2023";"Lluvia";"3.5";"1";"L/m2"
"01/12/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"01/12/2023";"Temperatura media  atura a 1.5m";"11.03";"1";"ºC"
"02/12/2023";"Lluvia";"0.0";"1";"L/m2"
"02/12/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/12/2023";"Temperatura media  atura a 1.5m";"10.55";"1";"ºC"
"03/12/2023";"Lluvia";"15.2";"1";"L/m2"
"03/12/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"03/12/2023";"Temperatura media  atura a 1.5m";"12.46";"1";"ºC"
"04/12/2023";"Lluvia";"5.3";"1";"L/m2"
"04/12/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/12/2023";"Temperatura media  atura a 1.5m";"13.01";"1";"ºC"
"05/12/2023";"Lluvia";"0.0";"1";"L/m2"
"05/12/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"05/12/2023";"Temperatura media  atura a 1.5m";"8.99";"1";"ºC"
"06/12/2023";"Lluvia";"3.4";"1";"L/m2"
"06/12/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"06/12/2023";"Temperatura media  atura a 1.5m";"9.77";"1";"ºC"
"07/12/2023";"Lluvia";"32.0";"1";"L/m2"
"07/12/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"07/12/2023";"Temperatura media  atura a 1.5m";"15.28";"1";"ºC"
"08/12/2023";"Lluvia";"3.9";"1";"L/m2"
"08/12/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"08/12/2023";"Temperatura media  atura a 1.5m";"13.98";"1";"ºC"
"09/12/2023";"Lluvia";"8.8";"1";"L/m2"
"09/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"09/12/2023";"Temperatura media  atura a 1.5m";"17.20";"1";"ºC"
"10/12/2023";"Lluvia";"2.0";"1";"L/m2"
"10/12/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"10/12/2023";"Temperatura media  atura a 1.5m";"18.16";"1";"ºC"
"11/12/2023";"Lluvia";"1.1";"1";"L/m2"
"11/12/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"11/12/2023";"Temperatura media  atura a 1.5m";"17.99";"1";"ºC"
"12/12/2023";"Lluvia";"32.3";"1";"L/m2"
"12/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"12/12/2023";"Temperatura media  atura a 1.5m";"14.93";"1";"ºC"
"13/12/2023";"Lluvia";"6.3";"1";"L/m2"
"13/12/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"13/12/2023";"Temperatura media  atura a 1.5m";"12.17";"1";"ºC"
"14/12/2023";"Lluvia";"0.0";"1";"L/m2"
"14/12/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"14/12/2023";"Temperatura media  atura a 1.5m";"11.58";"1";"ºC"
"15/12/2023";"Lluvia";"0.0";"1";"L/m2"
"15/12/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"15/12/2023";"Temperatura media  atura a 1.5m";"12.19";"1";"ºC"
"16/12/2023";"Lluvia";"0.0";"1";"L/m2"
"16/12/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"16/12/2023";"Temperatura media  atura a 1.5m";"11.16";"1";"ºC"
"17/12/2023";"Lluvia";"0.0";"1";"L/m2"
"17/12/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"17/12/2023";"Temperatura media  atura a 1.5m";"9.48";"1";"ºC"
"18/12/2023";"Lluvia";"0.0";"1";"L/m2"
"18/12/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/12/2023";"Temperatura media  atura a 1.5m";"8.17";"1";"ºC"
"19/12/2023";"Lluvia";"3.0";"1";"L/m2"
"19/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"19/12/2023";"Temperatura media  atura a 1.5m";"8.53";"1";"ºC"
"20/12/2023";"Lluvia";"0.0";"1";"L/m2"
"20/12/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"20/12/2023";"Temperatura media  atura a 1.5m";"12.52";"1";"ºC"
"21/12/2023";"Lluvia";"0.0";"1";"L/m2"
"21/12/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"21/12/2023";"Temperatura media  atura a 1.5m";"12.78";"1";"ºC"
"22/12/2023";"Lluvia";"0.0";"1";"L/m2"
"22/12/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"22/12/2023";"Temperatura media  atura a 1.5m";"12.81";"1";"ºC"
"23/12/2023";"Lluvia";"0.0";"1";"L/m2"
"23/12/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"23/12/2023";"Temperatura media  atura a 1.5m";"11.26";"1";"ºC"
"24/12/2023";"Lluvia";"0.0";"1";"L/m2"
"24/12/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"24/12/2023";"Temperatura media  atura a 1.5m";"11.06";"1";"ºC"
"25/12/2023";"Lluvia";"0.0";"1";"L/m2"
"25/12/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"25/12/2023";"Temperatura media  atura a 1.5m";"10.30";"1";"ºC"
"26/12/2023";"Lluvia";"0.0";"1";"L/m2"
"26/12/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"26/12/2023";"Temperatura media  atura a 1.5m";"13.23";"1";"ºC"
"27/12/2023";"Lluvia";"6.0";"1";"L/m2"
"27/12/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"27/12/2023";"Temperatura media  atura a 1.5m";"14.77";"1";"ºC"
"28/12/2023";"Lluvia";"23.3";"1";"L/m2"
"28/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"28/12/2023";"Temperatura media  atura a 1.5m";"13.83";"1";"ºC"
"29/12/2023";"Lluvia";"0.8";"1";"L/m2"
"29/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"29/12/2023";"Temperatura media  atura a 1.5m";"12.21";"1";"ºC"
"30/12/2023";"Lluvia";"10.0";"1";"L/m2"
"30/12/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"30/12/2023";"Temperatura media  atura a 1.5m";"12.49";"1";"ºC"
"31/12/2023";"Lluvia";"0.8";"1";"L/m2"
"31/12/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"31/12/2023";"Temperatura media  atura a 1.5m";"12.51";"1";"ºC"
"01/01/2024";"Lluvia";"0.0";"1";"L/m2"
"01/01/2024";"Humedad relativa media a 1.5m";"76";"1";"%"
"01/01/2024";"Temperatura media  atura a 1.5m";"12.36";"1";"ºC"
"02/01/2024";"Lluvia";"19.3";"1";"L/m2"
"02/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"02/01/2024";"Temperatura media  atura a 1.5m";"15.42";"1";"ºC"
"03/01/2024";"Lluvia";"0.0";"1";"L/m2"
"03/01/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"03/01/2024";"Temperatura media  atura a 1.5m";"14.64";"1";"ºC"
"04/01/2024";"Lluvia";"17.5";"1";"L/m2"
"04/01/2024";"Humedad relativa media a 1.5m";"82";"1";"%"
"04/01/2024";"Temperatura media  atura a 1.5m";"12.84";"1";"ºC"
"05/01/2024";"Lluvia";"7.5";"1";"L/m2"
"05/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"05/01/2024";"Temperatura media  atura a 1.5m";"9.47";"1";"ºC"
"06/01/2024";"Lluvia";"0.0";"1";"L/m2"
"06/01/2024";"Humedad relativa media a 1.5m";"86";"1";"%"
"06/01/2024";"Temperatura media  atura a 1.5m";"8.77";"1";"ºC"
"07/01/2024";"Lluvia";"0.0";"1";"L/m2"
"07/01/2024";"Humedad relativa media a 1.5m";"79";"1";"%"
"07/01/2024";"Temperatura media  atura a 1.5m";"8.47";"1";"ºC"
"08/01/2024";"Lluvia";"1.5";"1";"L/m2"
"08/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"08/01/2024";"Temperatura media  atura a 1.5m";"6.67";"1";"ºC"
"09/01/2024";"Lluvia";"10.7";"1";"L/m2"
"09/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"09/01/2024";"Temperatura media  atura a 1.5m";"9.19";"1";"ºC"
"10/01/2024";"Lluvia";"5.8";"1";"L/m2"
"10/01/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
"10/01/2024";"Temperatura media  atura a 1.5m";"11.22";"1";"ºC"
"11/01/2024";"Lluvia";"0.0";"1";"L/m2"
"11/01/2024";"Humedad relativa media a 1.5m";"67";"1";"%"
"11/01/2024";"Temperatura media  atura a 1.5m";"9.21";"1";"ºC"
"12/01/2024";"Lluvia";"0.0";"1";"L/m2"
"12/01/2024";"Humedad relativa media a 1.5m";"56";"1";"%"
"12/01/2024";"Temperatura media  atura a 1.5m";"9.72";"1";"ºC"
"13/01/2024";"Lluvia";"5.2";"1";"L/m2"
"13/01/2024";"Humedad relativa media a 1.5m";"74";"1";"%"
"13/01/2024";"Temperatura media  atura a 1.5m";"13.63";"1";"ºC"
"14/01/2024";"Lluvia";"16.3";"1";"L/m2"
"14/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"14/01/2024";"Temperatura media  atura a 1.5m";"15.98";"1";"ºC"
"15/01/2024";"Lluvia";"5.3";"1";"L/m2"
"15/01/2024";"Humedad relativa media a 1.5m";"98";"1";"%"
"15/01/2024";"Temperatura media  atura a 1.5m";"15.79";"1";"ºC"
"16/01/2024";"Lluvia";"10.8";"1";"L/m2"
"16/01/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"16/01/2024";"Temperatura media  atura a 1.5m";"17.08";"1";"ºC"
"17/01/2024";"Lluvia";"26.0";"1";"L/m2"
"17/01/2024";"Humedad relativa media a 1.5m";"82";"1";"%"
"17/01/2024";"Temperatura media  atura a 1.5m";"15.70";"1";"ºC"
"18/01/2024";"Lluvia";"3.9";"1";"L/m2"
"18/01/2024";"Humedad relativa media a 1.5m";"81";"1";"%"
"18/01/2024";"Temperatura media  atura a 1.5m";"13.44";"1";"ºC"
"19/01/2024";"Lluvia";"0.0";"1";"L/m2"
"19/01/2024";"Humedad relativa media a 1.5m";"68";"1";"%"
"19/01/2024";"Temperatura media  atura a 1.5m";"10.65";"1";"ºC"
"20/01/2024";"Lluvia";"0.0";"1";"L/m2"
"20/01/2024";"Humedad relativa media a 1.5m";"72";"1";"%"
"20/01/2024";"Temperatura media  atura a 1.5m";"8.96";"1";"ºC"
"21/01/2024";"Lluvia";"0.0";"1";"L/m2"
"21/01/2024";"Humedad relativa media a 1.5m";"73";"1";"%"
"21/01/2024";"Temperatura media  atura a 1.5m";"12.16";"1";"ºC"
"22/01/2024";"Lluvia";"2.1";"1";"L/m2"
"22/01/2024";"Humedad relativa media a 1.5m";"89";"1";"%"
"22/01/2024";"Temperatura media  atura a 1.5m";"15.04";"1";"ºC"
"23/01/2024";"Lluvia";"1.1";"5";"L/m2"
"23/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"23/01/2024";"Temperatura media  atura a 1.5m";"14.85";"1";"ºC"
"24/01/2024";"Lluvia";"0.0";"1";"L/m2"
"24/01/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
"24/01/2024";"Temperatura media  atura a 1.5m";"14.11";"1";"ºC"
"25/01/2024";"Lluvia";"0.0";"1";"L/m2"
"25/01/2024";"Humedad relativa media a 1.5m";"92";"1";"%"
"25/01/2024";"Temperatura media  atura a 1.5m";"13.51";"1";"ºC"
"26/01/2024";"Lluvia";"0.0";"1";"L/m2"
"26/01/2024";"Humedad relativa media a 1.5m";"79";"1";"%"
"26/01/2024";"Temperatura media  atura a 1.5m";"13.26";"1";"ºC"
"27/01/2024";"Lluvia";"0.0";"1";"L/m2"
"27/01/2024";"Humedad relativa media a 1.5m";"74";"1";"%"
"27/01/2024";"Temperatura media  atura a 1.5m";"14.25";"1";"ºC"
"28/01/2024";"Lluvia";"0.0";"1";"L/m2"
"28/01/2024";"Humedad relativa media a 1.5m";"66";"1";"%"
"28/01/2024";"Temperatura media  atura a 1.5m";"16.24";"1";"ºC"
"29/01/2024";"Lluvia";"0.0";"1";"L/m2"
"29/01/2024";"Humedad relativa media a 1.5m";"59";"1";"%"
"29/01/2024";"Temperatura media  atura a 1.5m";"17.52";"1";"ºC"
"30/01/2024";"Lluvia";"0.0";"1";"L/m2"
"30/01/2024";"Humedad relativa media a 1.5m";"75";"1";"%"
"30/01/2024";"Temperatura media  atura a 1.5m";"15.71";"1";"ºC"
"31/01/2024";"Lluvia";"0.0";"1";"L/m2"
"31/01/2024";"Humedad relativa media a 1.5m";"74";"1";"%"
"31/01/2024";"Temperatura media  atura a 1.5m";"14.98";"1";"ºC"
"01/02/2024";"Lluvia";"0.0";"1";"L/m2"
"01/02/2024";"Humedad relativa media a 1.5m";"76";"1";"%"
"01/02/2024";"Temperatura media  atura a 1.5m";"14.62";"1";"ºC"
"02/02/2024";"Lluvia";"0.0";"1";"L/m2"
"02/02/2024";"Humedad relativa media a 1.5m";"73";"1";"%"
"02/02/2024";"Temperatura media  atura a 1.5m";"14.40";"1";"ºC"
"03/02/2024";"Lluvia";"0.0";"1";"L/m2"
"03/02/2024";"Humedad relativa media a 1.5m";"68";"1";"%"
"03/02/2024";"Temperatura media  atura a 1.5m";"15.06";"1";"ºC"
"04/02/2024";"Lluvia";"0.0";"1";"L/m2"
"04/02/2024";"Humedad relativa media a 1.5m";"81";"1";"%"
"04/02/2024";"Temperatura media  atura a 1.5m";"13.32";"1";"ºC"
"05/02/2024";"Lluvia";"0.0";"1";"L/m2"
"05/02/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"05/02/2024";"Temperatura media  atura a 1.5m";"12.75";"1";"ºC"
"06/02/2024";"Lluvia";"0.0";"1";"L/m2"
"06/02/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"06/02/2024";"Temperatura media  atura a 1.5m";"13.07";"1";"ºC"
"07/02/2024";"Lluvia";"0.3";"1";"L/m2"
"07/02/2024";"Humedad relativa media a 1.5m";"77";"1";"%"
"07/02/2024";"Temperatura media  atura a 1.5m";"16.29";"1";"ºC"
"08/02/2024";"Lluvia";"29.9";"1";"L/m2"
"08/02/2024";"Humedad relativa media a 1.5m";"81";"1";"%"
"08/02/2024";"Temperatura media  atura a 1.5m";"15.54";"1";"ºC"
"09/02/2024";"Lluvia";"33.9";"1";"L/m2"
"09/02/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"09/02/2024";"Temperatura media  atura a 1.5m";"13.21";"1";"ºC"
"10/02/2024";"Lluvia";"8.2";"1";"L/m2"
